Date,US Money Market Fund Flows,US Money Market Fund Flows (5d m/a)
TICKERS,"US.FUNDFLOW.MM.TOTAL.1DCHG.D","US.FUNDFLOW.MM.TOTAL.1DCHG.D"
 , , 
2018-10-18,5.624959248050115,-2.75013011476426
2018-10-19,-6.251215873997659,0.4040023400930691
2018-10-22,5.765887569685932,1.1099039590734059
2018-10-23,1.156903167268261,1.8680884669558142
2018-10-24,1.646410424276255,1.588588907056581
2018-10-25,1.047920528912917,0.6731811632291411
2018-10-26,3.3398214341118,2.591388624851033
2018-10-29,2.9661870342297476,2.031448517759796
2018-10-30,-3.8383398288912103,1.032399918527902
2018-10-31,-1.6725284472378,0.36861214422509087
2018-11-01,8.90349525629729,1.9397270897019656
2018-11-02,3.809679535695353,2.033698710018676
2018-11-05,9.206246058536694,3.2817105148800656
2018-11-06,1.3585172636131762,4.321081933380944
2018-11-07,-4.23878295296105,3.8078310322362925
2018-11-08,8.659205212311821,3.758973023439199
2018-11-09,-5.61476671691937,1.8740837729162543
2018-11-13,-0.10351261952240001,0.0121320373044355
2018-11-14,9.12685550474096,1.5657996855299923
2018-11-15,9.662254527658224,4.346007181653848
2018-11-16,-7.93338654849771,1.0274888294919406
2018-11-19,6.86800976314908,3.5240441255056303
2018-11-20,9.100667450649201,5.364880139539951
2018-11-21,-3.28809175616782,2.881890687358195
2018-11-23,10.03232731926721,2.9559052456799924
2018-11-26,16.95282734561991,7.933148024503515
2018-11-27,-26.3591007947,1.2877259129336998
2018-11-28,3.37694342198968,0.1429811072017956
2018-11-29,13.709914419191419,3.5425823422736427
2018-11-30,16.11023789503239,4.758164457426679
2018-12-03,-15.2117978353421,-1.6747605787657225
2018-12-04,-50.2824822388892,-6.4594368676035625
2018-12-06,65.65546611155709,5.996267670309919
2018-12-07,1.37132485068962,3.5285497566095594
2018-12-10,13.13470105488179,2.93344238857944
2018-12-11,9.913176661929581,7.958437288033776
2018-12-12,3.217747948110104,18.658483325433636
2018-12-13,25.31503363035992,10.590396829194201
2018-12-14,-20.7465828640601,6.166815286244258
2018-12-17,4.170522017840762,4.373979478836053
2018-12-18,8.464402574562468,4.084224661362631
2018-12-19,-0.5448070998811161,3.3317136517643866
2018-12-20,18.715584681235722,2.0118238619395465
2018-12-21,-5.301731936867349,5.1007940473780975
2018-12-24,-13.620576852568,1.542574273296345
2018-12-26,25.192304842705372,4.888154726924926
2018-12-27,-2.536875736658,4.489740999569549
2018-12-28,-10.3112488706512,-1.3156257108078353
2018-12-31,4.874910102499185,0.7197026970654713
2019-01-02,0.2639928798237815,3.4966166435438275
2019-01-03,17.16313686235761,1.8907830474742753
2019-01-04,1.191959921361413,2.636550179078158
2019-01-07,-9.25053240771126,2.848693471666146
2019-01-08,6.763991613561753,3.2265097738786594
2019-01-09,7.904477496860548,4.754606697286013
2019-01-10,-9.50677030616114,-0.5793747364177373
2019-01-11,-6.613375988811249,-2.1404419184522694
2019-01-14,-9.79759569027741,-2.2498545749654997
2019-01-15,7.893096775642131,-2.0240335425494242
2019-01-16,-5.561389272584581,-4.71720689643845
2019-01-17,25.44288769388106,2.2727247035699905
2019-01-18,-49.574420175329806,-6.319484133733721
2019-01-22,33.59178856068244,2.358392716458249
2019-01-24,-7.58894477213128,-0.7380155930964334
2019-01-25,-3.3863987439,-0.30301748735951717
2019-01-28,8.265215819958597,-3.7385518621440097
2019-01-29,-9.65451912769116,4.2454283473837195
2019-01-30,-10.088267280067301,-4.490582820766229
2019-01-31,8.978851781288627,-1.1770235100822473
2019-02-01,11.85934311821591,1.8721248623409348
2019-02-04,1.5976831850134772,0.5386183353519114
2019-02-05,4.653693038883153,3.400260768666773
2019-02-06,2.084311783705373,5.834776581421307
2019-02-07,20.85913534404244,8.210833293972069
2019-02-08,-4.34462737373216,4.970039195582457
2019-02-11,9.514230231959372,6.553348604971636
2019-02-12,7.741038041491062,7.170817605493217
2019-02-13,-2.6186886150790403,6.230217525736334
2019-02-14,-14.3971734387204,-0.8210442308162331
2019-02-15,-7.850391588589639,-1.5221970737877293
2019-02-19,0.1888259135307744,-3.3872779374734483
2019-02-20,13.81818617890729,-2.171848309990202
2019-02-21,9.634812950489577,0.2788520031235205
2019-02-22,-5.898853665747209,1.9785159577181584
2019-02-25,-3.15055189704057,2.9184838960279724
2019-02-26,1.53153090583859,3.187024894489535
2019-02-27,1.342066183208488,0.6918008953497752
2019-02-28,10.38469565151213,0.8417774355542857
2019-03-01,1.488965271062683,2.319341222916264
2019-03-04,6.196918498308397,4.188835301986058
2019-03-05,7.5183075909186154,5.386190639002064
2019-03-06,7.225789159058594,6.562935234172085
2019-03-07,6.014728309890255,5.688941765847709
2019-03-08,-4.30132039555628,4.530884632523916
2019-03-11,-6.586776455271989,1.9741456418078396
2019-03-12,2.6839365413682543,1.0072714318977667
2019-03-13,0.8777059692833573,-0.26234520605728057
2019-03-14,-12.3155096556921,-3.9283927991737513
2019-03-15,7.110787403083408,-1.6459712394458144
2019-03-18,-10.7440045915009,-2.477416866691596
2019-03-19,-10.6629785738764,-5.146799889740526
2019-03-20,-6.01946718725283,-6.526234521047765
2019-03-21,18.50033765291935,-0.3630650593254742
2019-03-22,-4.34232478965959,-2.653687497874073
2019-03-25,3.753828225652222,0.2458790655565502
2019-03-26,10.06215812756726,4.390906405845283
2019-03-27,4.396619261349551,6.474123695565758
2019-03-28,0.8715149891604669,2.948359162813982
2019-03-29,-24.3747453912678,-1.0581249575076597
2019-04-01,18.231890762631778,1.837487549888251
2019-04-02,14.18168734788615,2.6613933939520287
2019-04-03,0.7198976170611567,1.9260490650943503
2019-04-04,3.888403761978727,2.5294268196580023
2019-04-05,-8.6661435574796,5.671147186415643
2019-04-08,5.810049856690225,3.1867790052273315
2019-04-09,3.0320675770998933,0.9568550510700803
2019-04-10,-9.56830136850197,-1.1007847460425448
2019-04-11,-8.38783986858977,-3.556033472156244
2019-04-12,-24.0075724806786,-6.624319256796045
2019-04-15,-14.0571188237648,-10.597752992887049
2019-04-16,5.750601679711137,-10.054046172364801
2019-04-17,-12.0598624843149,-10.552358395527385
2019-04-18,-33.7073356455495,-15.616257550919332
2019-04-22,41.03548996926937,-2.6076450609297384
2019-04-23,-1.20991203543171,-0.038203703263119594
2019-04-24,0.7800879251668229,-1.0323064541719826
